"id_section","code_type_section","nom_court_section","nom_section"
"1","CNU","CNU 01","section 01 - Droit privé et sciences criminelles"
"2","CNU","CNU 02","section 02 - Droit public"
"3","CNU","CNU 03","section 03 - Histoire du droit et des institutions"
"4","CNU","CNU 04","section 04 - Science politique"
"5","CNU","CNU 05","section 05 - Sciences économiques"
"6","CNU","CNU 06","section 06 - Sciences de gestion"
"7","CNU","CNU 07","section 07 - Sciences du langage : linguistique et phonétique générales"
"8","CNU","CNU 08","section 08 - Langues et littératures anciennes"
"9","CNU","CNU 09","section 09 - Langue et littérature françaises"
"10","CNU","CNU 10","section 10 - Littératures comparées"
"11","CNU","CNU 11","section 11 - Langues et littératures anglaises et anglo-saxonnes"
"12","CNU","CNU 12","section 12 - Langues et littératures germaniques et scandinaves"
"13","CNU","CNU 13","section 13 - Langues et littératures slaves"
"14","CNU","CNU 14","section 14 - Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes"
"15","CNU","CNU 15","section 15 - Langues et littératures arabes, chinoises, japonaises, hébraique, d'autres domaines linguistiques"
"16","CNU","CNU 16","section 16 - Psychologie, psychologie clinique, psychologie sociale"
"17","CNU","CNU 17","section 17 - Philosophie"
"18","CNU","CNU 18","section 18 - Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art"
"19","CNU","CNU 19","section 19 - Sociologie, démographie"
"20","CNU","CNU 20","section 20 - Ethnologie, préhistoire, anthropologie biologique"
"21","CNU","CNU 21","section 21 - Histoire, civilisations, archéologie et art des mondes anciens et médiévaux"
"22","CNU","CNU 22","section 22 - Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain ; de l'art ; de la musique"
"23","CNU","CNU 23","section 23 - Géographie physique, humaine, économique et régionale"
"24","CNU","CNU 24","section 24 - Aménagement de l'espace, urbanisme"
"25","CNU","CNU 25","section 25 - Mathématiques"
"26","CNU","CNU 26","section 26 - Mathématiques appliquées et applications des mathématiques"
"27","CNU","CNU 27","section 27 - Informatique"
"28","CNU","CNU 28","section 28 - Milieux denses et matériaux"
"29","CNU","CNU 29","section 29 - Constituants élémentaires"
"30","CNU","CNU 30","section 30 - Milieux dilués et optique"
"31","CNU","CNU 31","section 31 - Chimie théorique, physique, analytique"
"32","CNU","CNU 32","section 32 - Chimie organique, minérale, industrielle"
"33","CNU","CNU 33","section 33 - Chimie des matériaux"
"34","CNU","CNU 34","section 34 - Astronomie, astrophysique"
"35","CNU","CNU 35","section 35 - Structure et évolution de la terre et des autres planètes"
"36","CNU","CNU 36","section 36 - Terre solide : géodynamique des enveloppes supérieures, paléobiosphère"
"37","CNU","CNU 37","section 37 - Météorologie, océanographie physique de l'environnement"
"38","CNU","CNU 60","section 60 - Mécanique, génie mécanique, génie civil"
"39","CNU","CNU 61","section 61 - Génie informatique, automatique et traitement du signal"
"40","CNU","CNU 62","section 62 - Energétique, génie des procédés"
"41","CNU","CNU 63","section 63 - Génie électrique, électronique, photonique et systèmes"
"42","CNU","CNU 64","section 64 - Biochimie et biologie moléculaire"
"43","CNU","CNU 65","section 65 - Biologie cellulaire"
"44","CNU","CNU 66","section 66 - Physiologie"
"45","CNU","CNU 67","section 67 - Biologie des populations et écologie"
"46","CNU","CNU 68","section 68 - Biologie des organismes"
"47","CNU","CNU 69","section 69 - Neurosciences"
"48","CNU","CNU 70","section 70 - Sciences de l'éducation"
"49","CNU","CNU 71","section 71 - Sciences de l'information et de la communication"
"50","CNU","CNU 72","section 72 - Epistémologie, histoire des sciences et des techniques"
"51","CNU","CNU 73","section 73 - Cultures et langues régionales"
"52","CNU","CNU 74","section 74 - Sciences et techniques des activités physiques et sportives"
"53","CNU","CNU 76","section 76 - Théologie catholique"
"54","CNU","CNU 77","section 77 - Théologie protestante"
"55","CNU","CNU 85","section 85 - Personnels enseignants-chercheurs de pharmacie en sciences physico-chimiques et ingénierie appliquée à la santé"
"56","CNU","CNU 86","section 86 - Personnels enseignants-chercheurs de pharmacie en sciences du médicament et des autres produits de santé"
"57","CNU","CNU 87","section 87 - Personnels enseignants-chercheurs de pharmacie en sciences biologiques, fondamentales et cliniques"
"58","CNRS","CNRS 1","CNRS 1 Interactions, particules, noyaux, du laboratoire au cosmos"
"59","CNRS","CNRS 2","CNRS 2 Théories physiques : méthodes, modèles et applications"
"60","CNRS","CNRS 3","CNRS 3 Matière condensée : structures et propriétés électroniques"
"61","CNRS","CNRS 4","CNRS 4 Atomes et molécules, optique et lasers, plasmas chauds"
"62","CNRS","CNRS 5","CNRS 5 Matière condensée : organisation et dynamique"
"63","CNRS","CNRS 6","CNRS 6 Sciences de l'information : fondements de l'informatique, calculs, algorithmes, représentations, exploitations"
"64","CNRS","CNRS 7","CNRS 7 Sciences de l'information : traitements, systèmes intégrés matériel-logiciel, robots, commandes, images, contenus, interactions, signaux et langues"
"65","CNRS","CNRS 8","CNRS 8 Micro- et nanotechnologies, micro- et nanosystèmes, photonique, électronique, électromagnétisme, énergie électrique"
"66","CNRS","CNRS 9","CNRS 9 Ingénierie des matériaux et des structures, mécanique des solides, biomécanique, acoustique"
"67","CNRS","CNRS 10","CNRS 10 Milieux fluides et réactifs : transports, transferts, procédés de transformation"
"68","CNRS","CNRS 11","CNRS 11 Systèmes et matériaux supra et macromoléculaires : élaboration, propriétés, fonctions"
"69","CNRS","CNRS 12","CNRS 12 Architectures moléculaires : synthèses, mécanismes et propriétés"
"70","CNRS","CNRS 13","CNRS 13 Chimie physique, théorique et analytique"
"71","CNRS","CNRS 14","CNRS 14 Chimie de coordination, catalyse, interfaces et procédés"
"72","CNRS","CNRS 15","CNRS 15 Chimie des matériaux, nanomatériaux et procédés"
"73","CNRS","CNRS 16","CNRS 16 Chimie du vivant et pour le vivant : conception et propriétés de molécules d'intérêt biologique"
